season,desci,longdesc,nwseason
C77860,MALATA(萬利達),NULL,C77860
C77870,AOGER(澳捷爾),NULL,C77870
C77880,DHC(蝶翠詩),NULL,C77880
C77900,YIMAI(易邁),YIMAI(易邁),C77900
C77940,CHIPIE,NULL,C77940
C78120,禾綠回轉壽司,NULL,C78120
C78130,酷聖石,NULL,C78130
C78140,工商銀行,NULL,C78140
C78150,鴨王,NULL,C78150
C78160,天一竹,NULL,C78160
C78170,鹿港小鎮,NULL,C78170
C78350,巧虎,NULL,C78350
C78360,TAP,NULL,C78360
C78420,頤壽園,NULL,C78420
C78440,時代光華,NULL,C78440
